"ID","Hits","Indirect hits","Conflicts"
"K00021","1","0","0"
"K01635","1","0","0"
"K03103","1","0","0"
"K01965","1","0","0"
"K08660","1","0","0"
"K14677","1","0","1"
"K01966","1","0","0"
"K00039","1","0","0"
"K02377","1","0","0"
"K05858","1","0","0"
"K00215","1","0","0"
"K00252","1","0","0"
"K01116","1","0","0"
"K00302","1","0","1"
"K03850","1","0","0"
"K03430","1","0","0"
"K01490","1","0","0"
"K00803","1","0","0"
"K01684","1","0","0"
"K08591","1","0","1"
"K00147","1","0","1"
"K01441","1","0","0"
"K00139","1","0","1"
"K05284","1","0","0"
"K06210","1","0","1"
"K04712","1","0","0"
"K02367","1","0","0"
"K00148","1","0","0"
"K20730","1","0","0"
"K20279","1","0","0"
"K00912","1","0","0"
"K00265","1","0","1"
"K00864","1","0","0"
"K15779","1","0","1"
"K17103","1","0","0"
"K01588","1","0","0"
"K01916","1","0","1"
"K04708","1","0","0"
"K11473","1","0","1"
"K01816","1","0","0"
"K00314","1","0","1"
"K01958","1","0","0"
"K00453","1","0","0"
"K05293","1","0","0"
"K13060","1","0","0"
"K02433","1","0","0"
"K00064","1","0","0"
"K00503","1","0","0"
"K06928","1","0","0"
"K05286","1","0","0"
"K00390","1","0","0"
"K00859","1","0","1"
"K01649","1","0","0"
"K01801","1","0","0"
"K07541","1","0","0"
"K01929","1","0","0"
"K01834","1","0","1"
"K01885","1","0","1"
"K00674","1","0","0"
"K11517","1","0","1"
"K01637","1","0","0"
"K03153","1","0","0"
"K00030","1","0","1"
"K01609","1","0","0"
"K01968","1","0","0"
"K00845","1","0","1"
"K00858","1","0","1"
"K08964","1","0","0"
"K01091","1","0","1"
"K01057","1","0","1"
"K02564","1","0","1"
"K01000","1","0","0"
"K01474","1","0","0"
"K00772","1","0","0"
"K09457","1","0","0"
"K13273","1","0","0"
"K05290","1","0","0"
"K01001","1","0","0"
"K01228","1","0","0"
"K03847","1","0","0"
"K00161","1","0","0"
"K00891","1","0","0"
"K01809","1","0","0"
"K01814","1","0","0"
"K01465","1","0","1"
"K05607","1","0","1"
"K09023","1","0","0"
"K03859","1","0","0"
"K00486","1","0","0"
"K01950","1","0","1"
"K08738","1","0","0"
"K15730","1","0","0"
"K01792","1","0","1"
"K01845","1","0","0"
"K01707","1","0","0"
"K00768","1","0","0"
"K00448","1","0","0"
"K01686","1","0","0"
"K12351","1","0","0"
"K09459","1","0","0"
"K00861","1","0","1"
"K01008","1","0","0"
"K15013","1","0","1"
"K00451","1","0","0"
"K11155","1","0","0"
"K16795","1","0","0"
"K13766","1","0","1"
"K01012","1","0","0"
"K00979","1","0","0"
"K03338","1","0","0"
"K01840","1","0","1"
"K01937","1","0","0"
"K03331","1","0","0"
"K05309","1","0","0"
"K00365","1","0","0"
"K01955","1","0","1"
"K01922","1","0","1"
"K14464","1","0","0"
"K10532","1","0","0"
"K00117","1","0","1"
"K02160","1","0","1"
"K01836","1","0","0"
"K06998","0","0","0"
"K10203","0","0","0"
"K00006","0","0","0"
"K20449","0","0","0"
"K19177","0","0","0"
"K01781","0","0","0"
"K03897","0","0","0"
"K02510","0","0","0"
"K01070","0","0","0"
"K05710","0","0","0"
"K10621","0","0","0"
"K01628","0","0","0"
"K00363","0","0","0"
"K01101","0","0","0"
"K18029","0","0","0"
"K01912","0","0","0"
"K00111","0","0","0"
"K10680","0","0","0"
"K20807","0","0","0"
"K00808","0","0","0"
"K16844","0","0","0"
"K00355","0","0","0"
"K12505","0","0","0"
"K00067","0","0","0"
"K03519","0","0","0"
"K02364","0","0","0"
"K03380","0","0","0"
"K10258","0","0","0"
"K10221","0","0","0"
"K03809","0","0","0"
"K02523","0","0","0"
"K01576","0","0","0"
"K01750","0","0","0"
"K12504","0","0","0"
"K20942","0","0","0"
"K00485","0","0","0"
"K01512","0","0","0"
"K18334","0","0","0"
"K01799","0","0","0"
"K18541","0","0","0"
"K03520","0","0","0"
"K04100","0","0","0"
"K06193","0","0","0"
"K17836","0","0","0"
"K05955","0","0","0"
"K01502","0","0","0"
"K01790","0","0","0"
"K19191","0","0","0"
"K01721","0","0","0"
